index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,283.0,238.0
0,polygon,1,0.0,276.8338338338338,238.99925328293543
0,polygon,2,0.0,270.8034591147704,240.1495881440249
0,polygon,3,0.0,264.9058854405713,242.05466047234611
0,polygon,4,0.0,259.92469242418406,246.1018710121491
0,polygon,5,0.0,254.52387306391591,249.13838279400667
0,polygon,6,0.0,248.98480879223808,252.01372040052945
0,polygon,7,0.0,243.8139569557646,255.1277699048545
0,polygon,8,0.0,237.7875816565713,256.00241446537984
0,polygon,9,0.0,232.14703915431133,253.14363650570908
0,polygon,10,0.0,227.33013442734384,249.31044347382817
0,polygon,11,0.0,223.06359533413107,245.0280801498793
0,polygon,12,0.0,217.55649835379745,242.56795854735415
0,polygon,13,0.0,211.54290280434168,241.08560548782643
0,polygon,14,0.0,205.69785647949527,239.03204432173925
0,polygon,15,0.0,199.6108337623933,237.96983552713797
0,polygon,16,0.0,193.7066045202794,236.74449726627128
0,polygon,17,0.0,187.78878195758804,234.992855626527
0,polygon,18,0.0,181.68464801904912,234.03300715892348
0,polygon,19,0.0,175.78215213853997,232.79750780931542
0,polygon,20,0.0,170.4205438139206,230.0192057084691
0,polygon,21,0.0,165.0577235916529,227.0786103630207
0,polygon,22,0.0,159.21780562438613,225.08777348441495
0,polygon,23,0.0,153.58833515143525,222.89844859632646
0,polygon,24,0.0,147.55877218240883,221.9990291744269
0,polygon,25,0.0,141.48122620477002,221.0954639645294
0,polygon,26,0.0,135.52057282458472,219.99946790782965
0,polygon,27,0.0,129.41852442625546,220.0000026883133
0,polygon,28,0.0,123.34436109045943,220.00772570282624
0,polygon,29,0.0,117.32111979464065,219.10072969157434
0,polygon,30,0.0,111.37047091644114,218.00728378014912
0,polygon,31,0.0,105.40412867379423,216.88646732113287
0,polygon,32,0.0,99.56125046117536,218.42825154758648
0,polygon,33,0.0,93.47180223389405,218.99972355089875
0,polygon,34,0.0,87.40412380579504,218.3873807438021
0,polygon,35,0.0,81.32094371168368,218.73399900788533
0,polygon,36,0.0,75.28419429646883,218.98781561476665
0,polygon,37,0.0,69.2786005761416,218.00116224840258
0,polygon,38,0.0,63.241210533670255,218.00000984373645
0,polygon,39,0.0,57.21105932909866,218.023915095551
0,polygon,40,0.0,51.241873617185895,218.99716429392845
0,polygon,41,0.0,45.25389330834602,218.0146022639966
0,polygon,42,0.0,39.20553821015437,217.99831009362956
0,polygon,43,0.0,33.26188629177065,217.00810907302912
0,polygon,44,0.0,27.41549584701417,218.57714332387496
0,polygon,45,0.0,21.403271644446132,217.97275401001053
0,polygon,46,0.0,15.434643003004124,217.07732381073458
0,polygon,47,0.0,10.231759344089495,214.04173289082374
0,polygon,48,0.0,4.295780703295309,212.99949159131174
0,polygon,49,0.0,4.746809910284906,191.61090603311214
0,polygon,50,0.0,11.8716061019298,190.3655768474763
0,polygon,51,0.0,17.528926072952984,189.90687522820411
0,polygon,52,0.0,23.7978482030057,188.68367091014505
0,polygon,53,0.0,30.066770333058415,188.2249692908729
0,polygon,54,0.0,36.48859300286852,187.61336713184338
0,polygon,55,0.0,41.381412608181876,186.84886443305646
0,polygon,56,0.0,46.88583203944768,186.69596389329905
0,polygon,57,0.0,53.61345578877254,185.3198590354826
