Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
10," Dhaher, TH Kwon, M Barry",The effect of connective tissue material uncertainties on knee joint mechanics under isolated loading conditions,125,2010, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929010004380,8
33,"Gilbert, T Chen, ID Hutchinson, D Choi, C Voigt…",Dynamic contact mechanics on the tibial plateau of the human knee during activities of daily living,122,2014, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929013005551,11
64," Serink, A Nachemson…",The effect of impact loading on rabbit knee joints,120,1977, Taylor & Francis, Acta Orthopaedica …,https://www.tandfonline.com/doi/abs/10.3109/17453677708988764,2
46," Thelen, K Won Choi…",Co-simulation of neuromuscular dynamics and knee mechanics during human walking,109,2014, asmedigitalcollection.asme.org, Journal of …,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/136/2/021033/442947,10
86,Erdemir,Open knee: open source modeling and simulation in knee biomechanics,107,0,connect.com,,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0035-1564600,0
59," Moyer, TB Birmingham, BM Chesworth…","Alignment, body mass and their interaction on dynamic knee joint load in patients with knee osteoarthritis",106,2010, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458410001184,7
39,"Chen, JJY Zheng, G Li, J Yuan, JR Ebert, H Li…",Pathogenesis and clinical management of obesity-related knee osteoarthritis: impact of mechanical loading,106,2020, Elsevier, Journal of orthopaedic …,https://www.sciencedirect.com/science/article/pii/S2214031X2030067X,21
41," Hefzy, ES Grood",Review of knee models,102,1988, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/appliedmechanicsreviews/article-abstract/41/1/1/421179,3
52,"Van Rossom, CR Smith, DG Thelen…",Knee joint loading in healthy adults during functional exercises: implications for rehabilitation guidelines,100,2018, jospt.org, journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2018.7459,14
80,"Kumar, A Kothari, RB Souza, S Wu, CB Ma, X Li",Frontal plane knee mechanics and medial cartilage MR relaxation times in individuals with ACL reconstruction: A pilot study,97,2014, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016014001422,9
36," Park, DJ Stefanyshyn, B Ramage…",Relationship between knee joint laxity and knee joint mechanics during the menstrual cycle,96,2009, bjsm.bmj.com, British journal of sports …,https://bjsm.bmj.com/content/43/3/174.short,6
63," Hasler, W Herzog, TR Leonard, A Stano…",In vivo knee joint loading and kinematics before and after ACL transection in an animal model,89,1997, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S002192909700119X,3
55,"Henriksen, J Aaboe, H Bliddal",The relationship between pain and dynamic knee joint loading in knee osteoarthritis varies with radiographic disease severity. A cross sectional study,80,2012, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S0968016011001256,6
20,"Mesfar, A Shiraz",Knee joint mechanics under quadriceps–hamstrings muscle forces are influenced by tibial restraint,77,2006, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003306000854,4
57,"Wang, J Frame, E Ozimek, D Leib…",The effects of load carriage and muscle fatigue on lower-extremity joint mechanics,75,2013, Taylor & Francis, Research quarterly for …,https://www.tandfonline.com/doi/abs/10.1080/02701367.2013.814097,6
24," Donelon, T Dos' Santos, G Pitchers, M Brown…",Biomechanical determinants of knee joint loads associated with increased anterior cruciate ligament loading during cutting: a systematic review and technical …,72,2020, Springer, Sports Medicine …,https://link.springer.com/article/10.1186/s40798-020-00276-5,14
