Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
16,"Zhang, X Gao, N Wang, J Li…",Face sketch synthesis via sparse representation-based greedy search,91,2015, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/7084655/,9
71,Hirata,An efficient conversion of quantum circuits to a linear nearest neighbor architecture,90,2009, naist.repo.nii.ac.jp,,https://naist.repo.nii.ac.jp/record/7222/files/R006724.pdf,6
40,"Dairi, F Harrou, Y Sun, M Senouci",Obstacle Detection for Intelligent Transportation Systems Using Deep Stacked Autoencoder and  -Nearest Neighbor Scheme,87,2018, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/8352801/,12
41,"Jain, P Sarda, JR Haritsa",Providing diversity in k-nearest neighbor query results,86,2004, Springer, Advances in Knowledge Discovery and Data …,https://link.springer.com/chapter/10.1007/978-3-540-24775-3_49,4
82,"Shah, Q Xie",Q-learning with nearest neighbors,85,2018, proceedings.neurips.cc, Advances in Neural Information Processing …,https://proceedings.neurips.cc/paper_files/paper/2018/hash/309fee4e541e51de2e41f21bebb342aa-Abstract.html,12
1,"Dhillon, P Ravikumar, A Tewari",Nearest neighbor based greedy coordinate descent,83,2011, proceedings.neurips.cc, Advances in Neural …,https://proceedings.neurips.cc/paper/2011/hash/160c88652d47d0be60bfbfed25111412-Abstract.html,6
57,"Rachburee, W Punlumjeak","A comparison of feature selection approach between greedy, IG-ratio, Chi-square, and mRMR in educational mining",80,2015, ieeexplore.ieee.org, 2015 7th international …,https://ieeexplore.ieee.org/abstract/document/7408983/,8
78,"He, G Neubig, T Ber",Efficient nearest neighbor language models,80,2021, arxiv.org, arXiv preprint arXiv:2109.04212,https://arxiv.org/abs/2109.04212,20
60,"Kershenbaum, R Boorstyn…",Second-order greedy algorithms for centralized teleprocessing network design,64,1980, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/1094601/,1
39,Martíne,Exemplar-based image inpainting: Fast priority and coherent nearest neighbor search,62,2012, ieeexplore.ieee.org, 2012 IEEE International …,https://ieeexplore.ieee.org/abstract/document/6349810/,5
48,"Song, S Tan, H Shi, B Zhao",Fault detection and diagnosis via standardized k nearest neighbor for multimode process,61,2020, Elsevier, Journal of the Taiwan Institute of Chemical …,https://www.sciencedirect.com/science/article/pii/S1876107019303736,12
55," Zou, QK Pan, MF Tasgetiren",An effective iterated greedy algorithm for solving a multi-compartment AGV scheduling problem in a matrix manufacturing workshop,57,2021, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494620308838,14
32,"Malkov, A Ponomarenko, A Logvinov…",Scalable distributed algorithm for approximate nearest neighbor search problem in high dimensional general metric spaces,56,2012, Springer, Similarity Search and …,https://link.springer.com/chapter/10.1007/978-3-642-32153-5_10,4
5,Prokhorenkova…,Graph-based nearest neighbor search: From practice to theory,55,2020, proceedings.mlr.press, … Conference on Machine …,http://proceedings.mlr.press/v119/prokhorenkova20a.html,11
35,"Lifshits, S Zhang","Combinatorial algorithms for nearest neighbors, near-duplicates and small-world design",54,2009, SIAM,SIAM …,https://epubs.siam.org/doi/abs/10.1137/1.9781611973068.36,3
51,"Ren, M Zhang, D Li",Hm-ann: Efficient billion-point nearest neighbor search on heterogeneous memory,53,2020, proceedings.neurips.cc, Advances in Neural Information …,https://proceedings.neurips.cc/paper/2020/hash/788d986905533aba051261497ecffcbb-Abstract.html,11
15," Ku, R Zimmermann, H Wang, CN Wan",Adaptive nearest neighbor queries in travel time networks,51,2005, dl.acm.org, Proceedings of the 13th …,https://dl.acm.org/doi/abs/10.1145/1097064.1097094,3
97,Yang,Anytime synchronized-biased-greedy rapidly-exploring random tree path planning in two dimensional complex environments,48,2011, Springer, International Journal of Control  Automation and …,https://link.springer.com/article/10.1007/s12555-011-0417-7,3
94,"Abbar, S Ame",Diverse near neighbor problem,46,2013, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/2462356.2462401,4
56,San,A simple multi-armed nearest-neighbor bandit for interactive recommendation,44,2019, dl.acm.org, … of the 13th ACM conference on …,https://dl.acm.org/doi/abs/10.1145/3298689.3347040,7
59," Anastasiu, G Karypis",L2knng: Fast exact k-nearest neighbor graph construction with l2-norm pruning,44,2015, dl.acm.org, Proceedings of the 24th ACM International on …,https://dl.acm.org/doi/abs/10.1145/2806416.2806534,4
90,"Karlaš, P Li, R Wu, NM Gürel, X Chu, W Wu…",Nearest neighbor classifiers over incomplete information: From certain answers to certain predictions,43,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2005.05117,9
53,"Stützle, R Ruiz",Could not catch title,42,0," Handbook of heuristics, 2018",T Stützle,"Look manually at: https://scholar.google.com/scholar?start=50&q=greedy+nearest+neighbor&hl=en&as_sdt=0,5",0
91," Munoz, MA Gonçalves, Z Dias, RS Torres",Hierarchical clustering-based graphs for large scale approximate nearest neighbor search,42,2019, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320319302730,7
95,"Berlind, R Urner",Active nearest neighbors in changing environments,41,2015, proceedings.mlr.press, International conference on machine …,https://proceedings.mlr.press/v37/berlind15.html,4
67,"Liu, J He, SF Chang",Hash bit selection for nearest neighbor search,39,2017, ieeexplore.ieee.org, IEEE Transactions on Image …,https://ieeexplore.ieee.org/abstract/document/7904662/,5
46,"Oddi, R Rasconi",Greedy randomized search for scalable compilation of quantum circuits,36,2018, Springer, … of Constraint Programming  Artificial Intelligence  and …,https://link.springer.com/chapter/10.1007/978-3-319-93031-2_32,5
69,"Ponomarenko, N Avrelin, B Naidan, L Boytsov",Comparative analysis of data structures for approximate nearest neighbor search,35,2014, personales.upv.es, Data analytics,https://personales.upv.es/thinkmind/dl/conferences/dataanalytics/data_analytics_2014/data_analytics_2014_6_30_60125.pdf,3
87,"Baranchuk, D Persiyanov…",Learning to route in similarity graphs,34,2019, proceedings.mlr.press, International …,http://proceedings.mlr.press/v97/baranchuk19a.html,6
81,Kucuktunc…,λ-diverse nearest neighbors browsing for multidimensional data,34,2011, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6095558/,2
17,"Groh, L Ruppert, P Wieschollek…",Ggnn: Graph-based gpu nearest neighbor search,32,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9739943/,11
43," Karimireddy, A Koloskova…",Efficient greedy coordinate descent for composite problems,29,2019, proceedings.mlr.press, The 22nd …,http://proceedings.mlr.press/v89/karimireddy19a.html,5
30,"He, Y Choi, WD Fries, JL Belof, JS Chen",gLaSDI: Parametric physics-informed greedy latent space dynamics identification,27,2023, Elsevier, Journal of Computational …,https://www.sciencedirect.com/science/article/pii/S0021999123003625,14
79, Chehreghani,K-nearest neighbor search and outlier detection via minimax distances,26,2016, SIAM, Proceedings of the 2016 SIAM international conference …,https://epubs.siam.org/doi/abs/10.1137/1.9781611974348.46,3
2,"Park, S Park, S Lee, W Jung",Greedy filtering: A scalable algorithm for k-nearest neighbor graph construction,26,2014, Springer, …   DASFAA 2014  Bali  Indonesia  April 21 …,https://link.springer.com/chapter/10.1007/978-3-319-05810-8_22,2
68,"Birn, M Holtgrewe, P Sanders, J Singler",Simple and fast nearest neighbor search,26,2010, SIAM, 2010 Proceedings of the Twelfth …,https://epubs.siam.org/doi/abs/10.1137/1.9781611972900.5,2
42," KP, P Thiyagarajan",Feature selection using efficient fusion of Fisher Score and greedy searching for Alzheimer's classification,26,2022, Elsevier,Computer and …,https://www.sciencedirect.com/science/article/pii/S1319157820306170,9
