Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
63,"Wang, T Xiao, Q Liu, H Zheng",Deep learning for fast MR imaging: a review for learning reconstruction from incomplete k-space data,69,2021, Elsevier, Biomedical Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809421001762,17
64,"Zhao, X Hu",Iterative GRAPPA (iGRAPPA) for improved parallel imaging reconstruction,69,2008, Wiley Online Library, … International Society for Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21370,4
78,"Zeng, Y Guo, J Zhan, Z Wang, Z Lai, X Du, X Qu…",A review on deep learning MRI reconstruction without fully sampled k-space,63,2021, Springer, … Medical Imaging,https://link.springer.com/article/10.1186/s12880-021-00727-9,16
13," Fessler, I Tutorial",Iterative methods for image reconstruction,63,2006, Citeseer, ISBI Tutorial. Arlington Virginia: April,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0ee8cd047c4f8d23e5799e3a9c077d3a099567d7,3
44," Harshbarger, DB Twieg",Iterative reconstruction of single-shot spiral MRI with off resonance,61,1999, ieeexplore.ieee.org, … transactions on medical imaging,https://ieeexplore.ieee.org/abstract/document/764889/,2
47,"Knopp, S Kunis, D Potts",A Note on the Iterative MRI Reconstruction from Nonuniform -Space Data,59,2007, hindawi.com, … journal of biomedical imaging,https://www.hindawi.com/journals/ijbi/2007/024727/abs/,3
90,"Luo, N Zhao, W Jiang, ES Hui…",MRI reconstruction using deep Bayesian estimation,52,2020, Wiley Online Library, Magnetic resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28274,10
4," Fessler, DC Noll",Iterative image reconstruction in MRI with separate magnitude and phase regularization,50,2004, ieeexplore.ieee.org, … Symposium on Biomedical Imaging …,https://ieeexplore.ieee.org/abstract/document/1398511/,2
14,Montal,Machine learning in magnetic resonance imaging: image reconstruction,50,2021, Elsevier, Physica Medica,https://www.sciencedirect.com/science/article/pii/S1120179721001095,12
25, Fessler,Image reconstruction: Algorithms and analysis,49,2008, eecs.umich.edu, Under preparation,https://web.eecs.umich.edu/~fessler/book/c-front.pdf,3
92,"Ye, Y Chen, W Lin, F Huang",Fast MR Image Reconstruction for Partially Parallel Imaging With Arbitrary -Space Trajectories,48,2010, ieeexplore.ieee.org, … on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/5605662/,3
30,"Hauptmann, J Adler, S Arridge…",Multi-scale learned iterative reconstruction,48,2020, ieeexplore.ieee.org, … computational imaging,https://ieeexplore.ieee.org/abstract/document/9078889/,10
69,"Liu, Y Zhang, Q Zhao, T Lv, W Wu, N Cai…",Deep iterative reconstruction estimation (DIRE): approximate iterative reconstruction estimation for low dose CT imaging,47,2019, iopscience.iop.org, Physics in Medicine …,https://iopscience.iop.org/article/10.1088/1361-6560/ab18db/meta,8
55,"Zhang, L Wu, B Peterson, Z Dong",A two-level iterative reconstruction method for compressed sensing MRI,45,2011, Taylor & Francis, Journal of Electromagnetic …,https://www.tandfonline.com/doi/abs/10.1163/156939311795762024,3
28," Becker, J Schulz‐Menger…",Simultaneous high‐resolution cardiac T1 mapping and cine imaging using model‐based iterative image reconstruction,40,2019, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.27474,7
29," Wu, J Gai, F Lam, M Fu, JP Haldar…",Impatient MRI: Illinois Massively Parallel Acceleration Toolkit for image reconstruction with enhanced throughput in MRI,39,2011, ieeexplore.ieee.org, … biomedical imaging …,https://ieeexplore.ieee.org/abstract/document/5872356/,3
82," Muckley, DC Noll, JA Fessler","Fast parallel MR image reconstruction via B1-based, adaptive restart, iterative soft thresholding algorithms (BARISTA)",38,2014, ieeexplore.ieee.org, … on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/6923451/,3
72," Chen, P Wang, X Chen, T Chen…",Pyramid convolutional RNN for MRI image reconstruction,35,2022, ieeexplore.ieee.org, … on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/9718239/,12
26,Zhao,Model-based iterative reconstruction for magnetic resonance fingerprinting,32,2015, ieeexplore.ieee.org, 2015 IEEE International Conference on Image …,https://ieeexplore.ieee.org/abstract/document/7351433/,3
96,"Wech, D Stäb, JC Budich, A Fischer…",Resolution evaluation of MR images reconstructed by iterative thresholding algorithms for compressed sensing,32,2012, Wiley Online Library, Medical …,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.4728223,2
34,"Hammernik, J Schlemper, C Qin, J Duan…",-net: Systematic Evaluation of Iterative Deep Neural Networks for Fast Parallel MR Image Reconstruction,31,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1912.09278,5
53," Aggarwal, MP Mani, M Jacob",Model based image reconstruction using deep learned priors (MODL),30,2018, ieeexplore.ieee.org, … on Biomedical Imaging  …,https://ieeexplore.ieee.org/abstract/document/8363663/,4
97,"Wetzl, C Forman, BJ Wintersperger…",High‐resolution dynamic CE‐MRA of the thorax enabled by iterative TWIST reconstruction,28,2017, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26146,4
37,"Malczewski, R Stasinski",Toeplitz-based iterative image fusion scheme for MRI,28,2008, ieeexplore.ieee.org, … International Conference on Image …,https://ieeexplore.ieee.org/abstract/document/4711761/,2
6," Sutton, DC Noll, JA Fessler","Fast, iterative, field-corrected image reconstruction for MRI",28,2002, ieeexplore.ieee.org, … on Biomedical Imaging,https://ieeexplore.ieee.org/abstract/document/1029301/,1
32,"Kofler, M Haltmeier, T Schaeffter…",An end‐to‐end‐trainable iterative network architecture for accelerated radial multi‐coil 2D cine MR image reconstruction,27,2021, Wiley Online Library, Medical Physics,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.14809,7
94,"Zimmermann, Z Abbas, K Dzieciol…",Accelerated parameter mapping of multiple-echo gradient-echo data using model-based iterative reconstruction,23,2017, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/8101505/,3
89, Hielscher,Model-based iterative image reconstruction for photon migration tomography,23,1997, spiedigitallibrary.org,Posed Inverse Imaging …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3171/0000/Model-based-iterative-image-reconstruction-for-photon-migration-tomography/10.1117/12.294239.short,1
45,"Desplanques, DJ Cornelis, E Achten…",Iterative reconstruction of magnetic resonance images from arbitrary samples in k-space,23,2002, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/1046902/,1
16,"Wang, J Liu, Q Liu, L Ying, X Liu…",Iterative feature refinement for accurate undersampled MR image reconstruction,23,2016, iopscience.iop.org, Physics in Medicine & …,https://iopscience.iop.org/article/10.1088/0031-9155/61/9/3291/meta,3
19,"Hou, F Li",IDPCNN: Iterative denoising and projecting CNN for MRI reconstruction,23,2022, Elsevier, Journal of Computational and Applied Mathematics,https://www.sciencedirect.com/science/article/pii/S0377042721005719,8
49,"Zhuo, XL Wu, JP Haldar, W Hwu…",Accelerating iterative field-compensated MR image reconstruction on GPUs,22,2010, ieeexplore.ieee.org, … Biomedical Imaging …,https://ieeexplore.ieee.org/abstract/document/5490112/,1
65,"Saucedo, S Lefkimmiatis…",Improved computational efficiency of locally low rank MRI reconstruction using iterative random patch adjustments,20,2017, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/7835306/,2
18,"Elahi, H Omer",Compressively sampled MR image reconstruction using generalized thresholding iterative algorithm,20,2018, Elsevier, Journal of Magnetic Resonance,https://www.sciencedirect.com/science/article/pii/S1090780717302823,3
62,"Hu, X Qu, D Guo, L Bao, Z Chen",Wavelet-based edge correlation incorporated iterative reconstruction for undersampled MRI,20,2011, Elsevier, Magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0730725X11001469,1
67,"Haubenreisser, C Fink, JW Nance Jr…",Feasibility of slice width reduction for spiral cranial computed tomography using iterative image reconstruction,19,2014, Elsevier, European journal of …,https://www.sciencedirect.com/science/article/pii/S0720048X1400062X,2
74," Allen, M Carr, MPF Botelho, AA Rahsepar…",Highly accelerated cardiac MRI using iterative SENSE reconstruction: initial clinical experience,19,2016, Springer, … Cardiovascular Imaging,https://link.springer.com/article/10.1007/s10554-016-0859-3,2
43," Kadah, AS Fahmy, RE Gabr, K Heberlein…",Progressive magnetic resonance image reconstruction based on iterative solution of a sparse linear system,19,2006, hindawi.com, … of biomedical imaging,https://www.hindawi.com/journals/ijbi/2006/049378/abs/,1
8," Fessler, DC Noll",Iterative reconstruction methods for non-Cartesian MRI,19,2007, eecs.umich.edu,Cartesian MRI,https://web.eecs.umich.edu/~fessler/papers/lists/files/abs/07/fessler-07-iir.pdf,1
7,"Hashimoto, K Ote, T Oida, A Teramoto, Y Ouchi",Compressed-sensing magnetic resonance image reconstruction using an iterative convolutional neural network approach,18,2020, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/10/6/1902,4
87,"Schlemper, C Qin, J Duan, RM Summers…",-net: Ensembled Iterative Deep Neural Networks for Accelerated Parallel MR Image Reconstruction,18,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1912.05480,3
42,"He, TC Chang, S Osher, T Fang…",MR image reconstruction from undersampled data by using the iterative refinement procedure,18,2007, Wiley Online Library, PAMM: Proceedings in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/pamm.200700776,1
73,"Liu, T Kuang, X Zhang",Image reconstruction by splitting deep learning regularization from iterative inversion,18,2018, Springer, Medical Image Computing and Computer …,https://link.springer.com/chapter/10.1007/978-3-030-00928-1_26,3
23,"Qu, J Luo, B Zhang, J Wang…",An improved iterative SENSE reconstruction method,14,2007, Wiley Online Library, … in Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/cmr.b.20076,1
61,"Barmet, J Tsao, KP Pruessmann",Efficient iterative reconstruction for parallel MRI in strongly inhomogeneous B0,12,2004, mr.ethz.ch, … of the 13th Annual Meeting of …,https://www.mr.ethz.ch/parallelmri04/abstracts/pub/Barmet.pdf,1
86," Chun, H Lim, Z Huang…",Fast and convergent iterative image recovery using trained convolutional neural networks,11,2018, ieeexplore.ieee.org, 2018 56th Annual Allerton …,https://ieeexplore.ieee.org/abstract/document/8635932/,2
80,"Lustig, J Tsaig, JH Lee…",Fast spiral Fourier transform for iterative MR image reconstruction,11,2004, ieeexplore.ieee.org, … Imaging: Nano to Macro …,https://ieeexplore.ieee.org/abstract/document/1398655/,1
79,"Cheng, H Wang, Y Zhu, Q Liu, Q Zhang, T Su…",Model-based deep medical imaging: the roadmap of generalizing iterative reconstruction model using deep learning,11,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1906.08143,2
10,"Majumdar, RK Ward",Iterative estimation of MRI sensitivity maps and image based on sense reconstruction method (isense),11,2012, Wiley Online Library, Concepts in Magnetic Resonance Part …,https://onlinelibrary.wiley.com/doi/abs/10.1002/cmr.a.21244,1
11,"Kojima, H Shinohara, T Hashimoto, M Hirata…",Iterative image reconstruction that includes a total variation regularization for radial MRI,10,2015, Springer, … physics and technology,https://link.springer.com/article/10.1007/s12194-015-0320-7,1
48," Zeng, Y Li, EVR DiBella",Non‐iterative reconstruction with a prior for undersampled radial MRI data,10,2013, Wiley Online Library, International journal of imaging …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22036,1
36," Zeng, EV DiBella",Non-iterative image reconstruction from sparse magnetic resonance imaging radial data without priors,7,2020, Springer, Visual Computing for Industry  Biomedicine  and Art,https://link.springer.com/article/10.1186/s42492-020-00044-y,1
58,"Dawood, F Breuer, J Stebani, P Burd…",Iterative training of robust k‐space interpolation networks for improved image reconstruction with limited scan specific training samples,6,2023, Wiley Online Library, … Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.29482,3
93,"Qu, J Zhang, T Kang, J Lin, M Lin, H She…",Radial magnetic resonance image reconstruction with a deep unrolled projected fast iterative soft-thresholding network,2,2024, Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482523011721,2
59," Darestani, V Nath, W Li, Y He…",IR-FRestormer: Iterative Refinement With Fourier-Based Restormer for Accelerated MRI Reconstruction,2,2024, openaccess.thecvf.com, Proceedings of the …,https://openaccess.thecvf.com/content/WACV2024/html/Darestani_IR-FRestormer_Iterative_Refinement_With_Fourier-Based_Restormer_for_Accelerated_MRI_Reconstruction_WACV_2024_paper.html,2
9," Zeng, EV DiBella",Iterative versus non-iterative image reconstruction methods for sparse magnetic resonance imaging,1,2020, ncbi.nlm.nih.gov, Journal of radiology and imaging,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10081148/,0
60,"Kudo, T Saito",Reconstruction of magnetic resonance images by iterative methods,1,1992, Wiley Online Library, Systems and computers in Japan,https://onlinelibrary.wiley.com/doi/abs/10.1002/scj.4690230306,0
84,"Wang, Y Huang, C Ci, H Chen, H Wu…",EIDNet: Extragradient-based iterative denoising network for image compressive sensing reconstruction,0,2024, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S095741742400695X,0
85,"Aghabiglou, DA Ekinci, EM Eksioglu…",MR image reconstruction using iterative up and downsampling network,0,2024, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S0957417423020924,0
100," Meyer, MH In, DF Black, NG Campeau…",Model-based iterative reconstruction for direct imaging with point spread function encoded echo planar MRI,0,2024, Elsevier, Magnetic Resonance …,https://www.sciencedirect.com/science/article/pii/S0730725X24000651,0
