Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
12," Sheehan, A Derasari, TJ Brindle…",Understanding patellofemoral pain with maltracking in the presence of joint laxity: complete 3D in vivo patellofemoral and tibiofemoral kinematics,95,2009, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20783,6
67,"Fox, R Ferber, N Saunders, S Osis…",Gait kinematics in individuals with acute and chronic patellofemoral pain,41,2018, jsams.org, Journal of Science and …,https://www.jsams.org/article/S1440-2440(18)30666-2/abstract,6
77," Stephen, D Kader, P Lumpaopong…",Sectioning the medial patellofemoral ligament alters patellofemoral joint kinematics and contact mechanics,69,2013, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.22371,6
24," Freedman, TJ Brindle, FT Sheehan",Re-evaluating the functional implications of the Q-angle and its relationship to in-vivo patellofemoral kinematics,71,2014, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003314002241,6
36,"Haghighat, S Ebrahimi, M Rezaie, E Shafiee…","Trunk, pelvis, and knee kinematics during running in females with and without patellofemoral pain",24,2021, Elsevier, Gait & posture,https://www.sciencedirect.com/science/article/pii/S0966636221002393,6
30,"H Chew, NJ Stewart, AD Hanssen…",Differences in patellar tracking and knee kinematics among three different total knee designs,168,1997, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/abstract/1997/12000/Differences_in_Patellar_Tracking_and_Knee.13.aspx,6
70," Komistek, DA Dennis, JA Mabe, SA Walker",An in vivo determination of patellofemoral contact positions,113,2000, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003398000618,5
74,"Grant, CN Fick, J Welsh…",A word of caution for future studies in patellofemoral pain: a systematic review with meta-analysis,19,2021, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546520926448,5
86,"Muhle, J Brossmann, M Heller",Kinematic CT and MR imaging of the patellofemoral joint,120,1999, Springer, European radiology,https://link.springer.com/article/10.1007/s003300050702,5
13,"Iranpour, AM Merican, FRY Baena…",Patellofemoral joint kinematics: the circular path of the patella around the trochlear axis,70,2010, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.21051,5
11," Patel, K Hall, M Ries, C Lindsey, E Ozhinsky, Y Lu…",Magnetic resonance imaging of patellofemoral kinematics with weight-bearing,109,2003, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2003/12000/magnetic_resonance_imaging_of_patellofemoral.21.aspx,5
4,"Yu, J Yao, X Wang, X Xin, K Zhang…",Research methods and progress of patellofemoral joint kinematics: a review,29,2019, downloads.hindawi.com, Journal of …,https://downloads.hindawi.com/archive/2019/9159267.pdf,5
65,"Philippot, B Boyer, R Testa, F Farizon, B Moyen",Study of patellar kinematics after reconstruction of the medial patellofemoral ligament,60,2012, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003311001951,5
16," Seisler, FT Sheehan","Normative Three-Dimensional Patellofemoral and Tibiofemoral Kinematics: A Dynamic, in Vivo Study",92,2007, ieeexplore.ieee.org, IEEE Transactions on biomedical …,https://ieeexplore.ieee.org/abstract/document/4237348/,5
62," Bracey, ML Brown, HR Beard, S Mannava…",Effects of patellofemoral overstuffing on knee flexion and patellar kinematics following total knee arthroplasty: a cadaveric study,53,2015, Springer, International …,https://link.springer.com/article/10.1007/s00264-015-2715-9,5
