Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
12," Myers, MR Torry, DS Peterson…",Measurements of tibiofemoral kinematics during soft and stiff drop landings using biplane fluoroscopy,92,2011, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546511404922,7
15," Merican, KM Ghosh, F Iranpour, DJ Deehan…",The effect of femoral component rotation on the kinematics of the tibiofemoral and patellofemoral joints after total knee arthroplasty,114,2011, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-011-1499-8,8
36,"Mani, MS Kirkpatrick, A Saranathan…",Tibial tuberosity osteotomy for patellofemoral realignment alters tibiofemoral kinematics,82,2011, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546510390188,6
4,"Victor, L Labey, P Wong, B Innocenti…",The influence of muscle load on tibiofemoral knee kinematics,150,2010, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.21019,10
5," Deneweth, MJ Bey, SG McLean…",Tibiofemoral joint kinematics of the anterior cruciate ligament-reconstructed knee during a single-legged hop landing,163,2010, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546510365531,11
91,"Victor, JKP Mueller, RD Komistek…",In vivo kinematics after a cruciate-substituting TKA,140,2010, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/fulltext/2010/03000/In_Vivo_Kinematics_after_a_Cruciate_substituting.23.aspx,9
79," Varadarajan, TJ Gill, AA Freiberg…",Gender differences in trochlear groove orientation and rotational kinematics of human knees,85,2009, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20844,5
26,"Nakamura, SA Banks, A Tanaka, A Sei…",Three-dimensional tibiofemoral kinematics during deep flexion kneeling in a mobile-bearing total knee arthroplasty,49,2009, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540308006980,3
14," Merican, AA Amis",Iliotibial band tension affects patellofemoral and tibiofemoral kinematics,167,2009, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929009001870,10
83," Gill, SK Van de Velde, DW Wing…",Tibiofemoral and patellofemoral kinematics after reconstruction of an isolated posterior cruciate ligament injury: in vivo analysis during lunge,58,2009, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546509341829,4
20,"Moonot, S Mu, GT Railton, RE Field…",Tibiofemoral kinematic analysis of knee flexion for a medial pivot knee,80,2009, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-009-0777-1,5
23," Sheehan, A Derasari, TJ Brindle…",Understanding patellofemoral pain with maltracking in the presence of joint laxity: complete 3D in vivo patellofemoral and tibiofemoral kinematics,96,2009, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20783,6
1,"Kozanek, A Hosseini, F Liu, SK Van de Velde…",Tibiofemoral kinematics and condylar motion during the stance phase of gait,313,2009, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929009002796,20
33," Carpenter, S Majumdar, CB Ma",Magnetic resonance imaging of 3-dimensional in vivo tibiofemoral kinematics in anterior cruciate ligament–reconstructed knees,80,2009, Elsevier, … The Journal of Arthroscopic & Related …,https://www.sciencedirect.com/science/article/pii/S0749806309000796,5
6," Smith, RA Cockburn, A Hemmerich, RM Li…",Tibiofemoral joint contact forces and knee kinematics during squatting,100,2008, Elsevier, Gait & posture,https://www.sciencedirect.com/science/article/pii/S0966636207001269,6
87,"Anglin, KCT Ho, JL Briard, C De Lambilly…",In vivo patellar kinematics during total knee arthroplasty,39,2008, Taylor & Francis, Computer Aided …,https://www.tandfonline.com/doi/abs/10.3109/10929080802594563,2
60," Benoit, DK Ramsey, M Lamontagne…",In vivo knee kinematics during gait reveals new rotation profiles and smaller translations.,105,2007, journals.lww.com,2007 …,https://journals.lww.com/corr/fulltext/2007/01000/in_vivo_knee_kinematics_during_gait_reveals_new.15.aspx,6
2," Seisler, FT Sheehan","Normative Three-Dimensional Patellofemoral and Tibiofemoral Kinematics: A Dynamic, in Vivo Study",92,2007, ieeexplore.ieee.org, IEEE Transactions on biomedical …,https://ieeexplore.ieee.org/abstract/document/4237348/,5
93," McWalter, J Cibere, NJ MacIntyre, S Nicolaou…",Relationship between varus-valgus alignment and patellar kinematics in individuals with knee osteoarthritis,109,2007, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/FullText/2007/12000/Relationship_Between_Varus_Valgus_Alignment_and.19.aspx,6
7," Shefelbine, CB Ma, KY Lee…",MRI analysis of in vivo meniscal and tibiofemoral kinematics in ACL‐deficient and normal knees,130,2006, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20139,7
40,"Li, J Suggs, G Hanson, S Durbhakula, T Johnson…",Three-dimensional tibiofemoral articular contact kinematics of a cruciate-retaining total knee arthroplasty,88,2006, journals.lww.com, Jbjs,https://journals.lww.com/jbjsjournal/fulltext/2006/02000/Three_Dimensional_Tibiofemoral_Articular_Contact.20.aspx,5
78," Siston, NJ Giori, SB Goodman…",Intraoperative passive kinematics of osteoarthritic knees before and after total knee arthroplasty,112,2006, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20163,6
